C000477,99,12816,11916,10896,,,,
C000478,0,17346,15816,14016,,,,
C000479,100,16656,15366,13866,,,,
C000480,100,16656,15366,13866,,,,
C000481,0,22176,20196,17826,,,,
C000482,101,11496,10566,9486,,,,
C000483,101,11496,10566,9486,,,,
C000484,0,16266,14646,12786,,,,
C000485,504,16956,15726,14256,,,,
C000486,504,16956,15726,14256,,,,
C000487,0,22836,20826,18456,,,,
C000488,512,22236,20856,19236,,,,
C000489,512,22236,20856,19236,,,,
C000490,0,28176,26016,23496,,,,
C000491,102,13116,12246,11196,,,,
C000492,102,13116,12246,11196,,,,
C000493,0,17646,16116,14316,,,,
C000494,103,12786,11616,10266,,,,
C000495,103,12786,11616,10266,,,,
C000496,0,18756,16746,14376,,,,
C000497,104,13296,11976,10446,,,,
C000498,104,13296,11976,10446,,,,
C000499,0,19026,16986,14556,,,,
C000500,105,16626,14556,12126,,,,
C000501,0,16626,14556,12126,,,,
C000502,0,25716,22446,18636,,,,
C000503,106,10176,9276,8256,,,,
C000504,106,10176,9276,8256,,,,
C000505,0,14706,13176,11376,,,,
C000506,107,11016,9816,8406,,,,
C000507,107,11016,9816,8406,,,,
C000508,0,17226,15156,12696,,,,
C000509,108,9726,8826,7806,,,,
C000510,108,9726,8826,7806,,,,
C000511,0,14226,12726,10926,,,,
C000512,110,19776,18066,16056,,,,
C000513,110,19776,18066,16056,,,,
C000514,0,27246,24546,21396,,,,
C000515,109,11496,10386,9096,,,,
C000516,109,11496,10386,9096,,,,
C000517,0,17136,15246,12996,,,,
C000518,122,16476,15576,14526,,,,
C000519,122,16476,15576,14526,,,,
C000520,0,21006,19446,17646,,,,
C000521,123,13776,13086,12276,,,,
C000522,123,13776,13086,12276,,,,
C000523,0,17286,16116,14706,,,,
C000524,124,21546,20226,18636,,,,
C000525,0,21546,20226,18636,,,,
C000526,0,27276,25206,22746,,,,
C000527,125,12606,11976,11226,,,,
C000528,125,12606,11976,11226,,,,
C000529,0,15786,14706,13446,,,,
C000530,126,8466,8016,7506,,,,
C000531,126,8466,8016,7506,,,,
C000532,0,10716,9966,9066,,,,
C000533,127,28506,26706,24606,,,,
C000534,127,28506,26706,24606,,,,
C000535,0,36156,33396,30126,,,,
C000536,51,37416,35856,33996,,,,
C000537,51,37416,35856,33996,,,,
C000538,0,44106,41676,38826,,,,
C000539,49,33726,32376,30786,,,,
C000540,49,33726,32376,30786,,,,
C000541,0,39456,37356,34926,,,,
C000542,48,28686,27336,25776,,,,
C000543,0,28686,27336,25776,,,,
C000544,0,34416,32316,29886,,,,
C000545,53,36366,34566,32496,,,,
C000546,53,36366,34566,32496,,,,
C000547,0,43986,41226,37986,,,,
C000548,4,27666,26106,24306,,,,
C000549,4,27666,26106,24306,,,,
C000550,0,34326,31926,29106,,,,
C000551,9,42186,40236,37956,,,,
C000552,0,42186,40236,37956,,,,
C000553,0,50586,47556,43986,,,,
C000554,50,46596,44556,42186,,,,
C000555,0,46596,44556,42186,,,,
C000556,0,57216,53706,49626,,,,
C000557,52,47166,45126,42726,,,,
C000558,0,47166,45126,42726,,,,
C000559,0,55776,52656,48936,,,,
C000560,54,47286,45486,43386,,,,
C000561,54,47286,45486,43386,,,,
C000562,0,54936,52176,48906,,,,
C000563,41,28686,26676,24336,,,,
C000564,0,28686,26676,24336,,,,
C000565,0,37296,34176,30516,,,,
C000566,40,39186,37206,34866,,,,
C000567,40,39186,37206,34866,,,,
C000568,0,47766,44676,41016,,,,
C000569,0,25176,23406,21336,,,,
C000570,0,25176,23406,21336,,,,
C000571,0,32826,30066,26826,,,,
